customer_id,age_group,customer_tenure_months,customer_tier,industry,region,annual_spend_usd,engagement_score,preferred_channel,interaction_date,interaction_channel,issue_category,first_contact_resolution,response_time_hours,satisfaction_score,escalation_level,sentiment_score,idea_submitted_by,idea_submission_date,idea_category,expected_impact,development_timeline_months,required_budget_usd,risk_level,customer_driven_idea,implementation_status,implementation_start_date,implementation_completion_date,actual_budget_usd,success_metrics,roi_multiplier,customer_impact_score,business_value_score,innovation_efficiency_ratio,customer_loyalty_index,employee_engagement_score,market_impact_scope,total_innovation_value,customer_lifetime_value,efficiency_score,idea_to_implementation_days,budget_variance,performance_tier
CUST_011,55+,28,Gold,Healthcare,Burundi,46696.34,9,Phone,2025-03-07,Chat,Product Feature,True,31.8,5,3,-0.39,Customer,2025-10-08,Service Innovation,Medium,22,11255.06,Low,False,Completed,2025-11-02,2025-11-11,9847.34,Met Targets,1.73,10.0,4.0,0.67,4,5,Global,80784.67,108958.13,0.39,34.0,-0.125,Low Performance
CUST_012,46-55,33,Basic,Technology,Togo,31897.08,36,Email,2025-01-24,Email,Product Feature,True,46.1,3,1,0.48,AI Analysis,2025-11-11,Service Innovation,High,4,8449.14,High,True,In Development,,,55445.15,,2.81,5.0,6.0,0.57,3,7,Local,0.0,87716.97,0.41,,5.562,Medium Performance
CUST_013,18-25,40,Gold,Technology,Bolivia,44996.77,27,Phone,2025-09-01,Email,Product Feature,False,70.1,2,1,0.73,Employee,2025-07-19,Technology Upgrade,High,6,73919.88,Medium,False,Approved,,,55445.15,,2.81,5.0,6.0,0.31,2,7,Local,0.0,149989.23,0.26,,-0.25,Low Performance
CUST_014,46-55,29,Silver,Retail,Guyana,17808.09,30,Phone,2025-10-17,Email,Suggestion,True,29.0,3,1,0.93,Management,2025-09-06,Customer Experience,Low,17,40568.16,High,False,Under Review,,,55445.15,,2.81,5.0,6.0,0.8,5,3,Global,0.0,43036.22,0.53,,0.367,Medium Performance
CUST_015,36-45,5,Basic,Education,Poland,22010.91,94,Chat,2025-08-11,Social Media,Complaint,True,28.0,5,1,-0.49,AI Analysis,2025-08-28,Product Improvement,Low,18,68998.86,High,True,Completed,2025-10-08,2025-10-27,58578.77,Partially Met,3.3,2.0,5.0,0.51,7,6,Regional,72636.0,9171.21,0.72,60.0,-0.151,High Performance
CUST_016,36-45,71,Silver,Healthcare,Korea,21312.09,49,Phone,2025-09-07,Help Desk,Complaint,False,29.5,1,2,-0.43,AI Analysis,2025-10-29,Service Innovation,Low,21,32902.67,Medium,False,Rejected,,,55445.15,,2.81,5.0,6.0,0.73,3,2,Regional,0.0,126096.53,0.51,,0.685,Medium Performance
CUST_017,55+,85,Gold,Technology,New Zealand,41011.96,97,Phone,2025-01-19,Chat,Technical Support,True,11.0,1,1,0.97,Customer,2025-10-15,Technology Upgrade,Medium,21,57991.42,High,False,Approved,,,55445.15,,2.81,5.0,6.0,0.22,1,2,Regional,0.0,290501.38,0.43,,-0.044,Medium Performance
CUST_018,26-35,23,Platinum,Technology,Netherlands,28091.59,16,Social Media,2025-09-03,Phone,Account Management,False,68.4,4,3,0.63,AI Analysis,2025-08-16,Service Innovation,Medium,6,74621.89,Medium,False,Completed,2025-11-13,2025-11-18,72612.16,Partially Met,3.95,9.0,8.0,0.6,5,8,Local,110961.78,53842.21,0.42,94.0,-0.027,Medium Performance
CUST_019,36-45,31,Gold,Finance,Peru,16325.62,70,Email,2025-06-25,Phone,Technical Support,True,27.9,2,3,-0.57,AI Analysis,2025-07-07,Technology Upgrade,Medium,18,47126.51,Low,True,Rejected,,,55445.15,,2.81,5.0,6.0,0.82,10,1,Global,0.0,42174.52,0.84,,0.177,High Performance
CUST_020,46-55,62,Basic,Finance,Gibraltar,15281.33,50,Social Media,2025-10-02,Help Desk,Suggestion,True,35.4,3,2,-0.03,AI Analysis,2025-08-09,Customer Experience,Low,22,80016.09,High,True,Approved,,,55445.15,,2.81,5.0,6.0,0.88,9,1,Regional,0.0,78953.54,0.76,,-0.307,High Performance
CUST_021,55+,73,Basic,Technology,Peru,32316.11,18,Social Media,2025-07-31,Phone,Billing,False,27.6,2,2,-0.35,AI Analysis,2025-10-29,Customer Experience,Medium,9,83656.18,Medium,True,Under Review,,,55445.15,,2.81,5.0,6.0,0.9,6,4,Global,0.0,196589.67,0.56,,-0.337,Medium Performance
CUST_022,18-25,100,Basic,Technology,Malta,47505.78,26,Email,2025-03-03,Help Desk,Technical Support,True,9.5,1,3,0.9,AI Analysis,2025-11-21,Customer Experience,Medium,6,60983.38,High,True,Approved,,,55445.15,,2.81,5.0,6.0,0.87,2,10,Local,0.0,395881.5,0.44,,-0.091,Medium Performance
CUST_023,36-45,74,Platinum,Retail,Greenland,47102.79,26,Email,2025-06-21,Help Desk,Suggestion,True,7.8,3,3,0.2,Customer,2025-11-14,Service Innovation,High,12,53741.78,High,False,Completed,2025-11-21,2025-11-25,67353.51,Exceeded Targets,4.32,8.0,2.0,0.45,6,8,Global,203484.05,290467.21,0.44,11.0,0.253,Medium Performance
CUST_024,26-35,56,Silver,Manufacturing,Algeria,26326.46,84,Chat,2025-11-05,Help Desk,Complaint,False,33.7,5,2,-0.36,Employee,2025-08-24,Product Improvement,Medium,15,25142.48,Medium,False,Completed,2025-09-05,2025-09-18,28813.65,Partially Met,1.32,4.0,6.0,0.74,6,5,Global,34750.93,122856.81,0.73,25.0,0.146,High Performance
CUST_025,36-45,72,Basic,Education,Slovakia (Slovak Republic),47429.1,11,Phone,2025-07-31,Social Media,Account Management,True,49.9,4,2,0.59,Customer,2025-06-16,Customer Experience,High,13,69486.93,Medium,False,In Development,,,55445.15,,2.81,5.0,6.0,0.44,9,6,Regional,0.0,284574.6,0.48,,-0.202,Medium Performance
CUST_026,46-55,35,Gold,Finance,Pitcairn Islands,11911.63,93,Phone,2025-08-18,Chat,Billing,True,14.2,4,2,0.45,Management,2025-08-28,Product Improvement,High,10,23520.83,Low,False,Completed,2025-10-21,2025-11-01,27610.97,Partially Met,0.7,1.0,9.0,0.33,3,8,Local,8338.14,34742.25,0.52,65.0,0.174,Medium Performance
CUST_027,18-25,74,Gold,Retail,Chad,24196.35,44,Phone,2025-08-15,Email,Product Feature,False,8.7,1,2,-0.02,Customer,2025-06-20,Process Optimization,High,19,94963.44,Low,True,Completed,2025-07-29,2025-09-28,126786.68,Met Targets,3.99,7.0,8.0,0.83,5,10,Regional,96543.44,149210.83,0.59,100.0,0.335,Medium Performance
CUST_028,36-45,73,Basic,Education,Cook Islands,48025.38,13,Phone,2025-03-07,Phone,Product Feature,True,11.7,2,3,-0.85,Customer,2025-09-09,Technology Upgrade,Medium,23,59787.31,Medium,True,Completed,2025-11-26,2025-11-28,77416.74,Below Targets,0.82,4.0,5.0,0.73,10,4,Regional,39380.81,292154.39,0.62,80.0,0.295,Medium Performance
CUST_029,18-25,70,Silver,Manufacturing,Antigua and Barbuda,7874.98,35,Phone,2025-06-18,Email,Billing,True,57.2,5,3,0.65,Management,2025-08-25,Technology Upgrade,High,15,69179.12,High,False,Rejected,,,55445.15,,2.81,5.0,6.0,0.45,10,1,Regional,0.0,45937.38,0.6,,-0.199,Medium Performance
CUST_030,36-45,78,Gold,Technology,Ireland,5020.68,87,In-Person,2025-05-24,Help Desk,Billing,False,41.7,2,2,0.04,AI Analysis,2025-10-15,Customer Experience,High,19,44152.61,Medium,True,Rejected,,,55445.15,,2.81,5.0,6.0,0.37,2,3,Regional,0.0,32634.42,0.48,,0.256,Medium Performance
CUST_031,46-55,89,Platinum,Finance,Svalbard & Jan Mayen Islands,33297.89,52,In-Person,2025-05-06,Email,Account Management,True,23.0,3,1,0.94,AI Analysis,2025-06-17,Service Innovation,High,22,87067.38,Medium,False,Completed,2025-11-03,2025-11-10,101251.32,Below Targets,3.31,1.0,4.0,0.31,3,5,Regional,110216.02,246959.35,0.38,146.0,0.163,Low Performance
CUST_032,46-55,16,Basic,Manufacturing,Timor-Leste,30639.15,31,Phone,2025-02-15,Chat,Complaint,True,40.0,1,1,0.98,Customer,2025-06-19,Technology Upgrade,High,21,83382.17,Medium,False,In Development,,,55445.15,,2.81,5.0,6.0,0.43,8,8,Local,0.0,40852.2,0.51,,-0.335,Medium Performance
CUST_033,46-55,71,Silver,Retail,Lithuania,9935.21,77,In-Person,2025-10-05,Phone,Billing,False,55.7,4,2,0.87,Management,2025-06-17,Product Improvement,Medium,24,30557.03,High,False,Rejected,,,55445.15,,2.81,5.0,6.0,0.53,6,6,Global,0.0,58783.33,0.63,,0.814,Medium Performance
CUST_034,55+,49,Platinum,Finance,Hungary,43545.28,90,Phone,2024-12-04,Help Desk,Account Management,True,61.7,4,1,-0.36,AI Analysis,2025-07-05,Technology Upgrade,Medium,22,79446.97,High,True,Under Review,,,55445.15,,2.81,5.0,6.0,0.2,10,6,Local,0.0,177809.89,0.7,,-0.302,High Performance
CUST_035,46-55,13,Platinum,Technology,Burkina Faso,36260.97,53,Phone,2025-07-05,Email,Account Management,False,24.7,4,3,-0.84,Management,2025-11-09,Service Innovation,Medium,11,63053.12,Medium,True,Approved,,,55445.15,,2.81,5.0,6.0,0.6,5,4,Global,0.0,39282.72,0.54,,-0.121,Medium Performance
CUST_036,18-25,56,Basic,Manufacturing,French Guiana,35342.6,13,Social Media,2025-10-24,Phone,Suggestion,False,65.1,1,2,0.59,Management,2025-07-01,Customer Experience,Medium,14,15411.41,High,False,Approved,,,55445.15,,2.81,5.0,6.0,0.24,2,10,Regional,0.0,164932.13,0.19,,2.598,Low Performance
CUST_037,55+,88,Silver,Retail,Slovenia,45685.04,19,Phone,2025-01-17,Social Media,Suggestion,False,33.4,1,2,0.8,Employee,2025-11-06,Product Improvement,Medium,12,98777.52,Medium,False,Rejected,,,55445.15,,2.81,5.0,6.0,0.78,4,7,Regional,0.0,335023.63,0.46,,-0.439,Medium Performance
CUST_038,18-25,31,Platinum,Education,Panama,18268.48,38,Chat,2025-10-31,Email,Suggestion,False,20.1,5,3,0.56,Customer,2025-11-22,Service Innovation,Low,16,83451.05,Medium,True,In Development,,,55445.15,,2.81,5.0,6.0,0.28,4,10,Regional,0.0,47193.57,0.35,,-0.336,Low Performance
CUST_039,26-35,81,Basic,Manufacturing,Iran,32493.86,40,Social Media,2025-06-02,Email,Complaint,False,52.9,1,2,-0.35,AI Analysis,2025-10-19,Process Optimization,High,5,78864.77,Medium,False,In Development,,,55445.15,,2.81,5.0,6.0,0.83,8,5,Global,0.0,219333.55,0.68,,-0.297,Medium Performance
CUST_040,36-45,103,Basic,Retail,Monaco,48163.22,19,Phone,2025-09-18,Social Media,Complaint,False,7.0,4,1,-0.47,Customer,2025-07-16,Technology Upgrade,Medium,22,75152.15,Medium,False,In Development,,,55445.15,,2.81,5.0,6.0,0.19,4,8,Local,0.0,413400.97,0.26,,-0.262,Low Performance
CUST_041,55+,114,Gold,Education,Trinidad and Tobago,11457.68,9,Social Media,2025-01-03,Chat,Suggestion,False,8.8,1,1,-0.39,AI Analysis,2025-06-20,Product Improvement,High,8,88838.67,Low,False,Rejected,,,55445.15,,2.81,5.0,6.0,0.57,3,7,Global,0.0,108847.96,0.32,,-0.376,Low Performance
CUST_042,18-25,107,Platinum,Education,Andorra,20701.74,36,Email,2025-06-27,Chat,Technical Support,False,32.3,2,2,-0.8,Management,2025-07-16,Service Innovation,Low,12,6994.46,Medium,True,Rejected,,,55445.15,,2.81,5.0,6.0,0.17,4,10,Local,0.0,184590.52,0.31,,6.927,Low Performance
CUST_043,18-25,101,Gold,Healthcare,Fiji,49446.63,73,Phone,2025-07-30,Email,Complaint,True,42.4,2,2,0.55,Customer,2025-11-18,Customer Experience,High,5,54481.33,Low,True,Under Review,,,55445.15,,2.81,5.0,6.0,0.21,6,4,Global,0.0,416175.8,0.51,,0.018,Medium Performance
CUST_044,36-45,3,Silver,Finance,Nigeria,3093.75,95,Social Media,2025-02-18,Help Desk,Billing,True,34.6,3,3,0.19,AI Analysis,2025-10-22,Service Innovation,High,20,5293.14,High,False,Under Review,,,55445.15,,2.81,5.0,6.0,0.15,8,7,Regional,0.0,773.44,0.63,,9.475,Medium Performance
CUST_045,18-25,63,Platinum,Technology,Isle of Man,45013.7,42,In-Person,2025-08-30,Phone,Billing,True,20.2,5,3,0.42,AI Analysis,2025-09-05,Service Innovation,Low,10,45917.83,High,False,Completed,2025-09-11,2025-10-29,59291.2,Met Targets,2.44,4.0,7.0,0.37,8,7,Regional,109833.43,236321.92,0.53,54.0,0.291,Medium Performance
CUST_046,18-25,41,Platinum,Finance,Syrian Arab Republic,33422.84,48,Phone,2025-06-30,Social Media,Billing,True,60.0,1,2,-0.81,Management,2025-07-07,Process Optimization,Low,2,59060.04,High,False,Rejected,,,55445.15,,2.81,5.0,6.0,0.38,7,1,Regional,0.0,114194.7,0.52,,-0.061,Medium Performance
CUST_047,55+,40,Gold,Technology,Turkey,29106.97,28,Phone,2025-08-20,Social Media,Technical Support,True,25.5,5,2,-0.77,Management,2025-06-03,Service Innovation,High,14,84670.36,High,True,In Development,,,55445.15,,2.81,5.0,6.0,0.12,5,5,Regional,0.0,97023.23,0.3,,-0.345,Low Performance
CUST_048,36-45,1,Silver,Healthcare,Tanzania,28532.89,52,Email,2025-10-02,Phone,Suggestion,True,7.1,5,1,-0.25,AI Analysis,2025-10-31,Customer Experience,High,12,31852.1,Medium,True,Approved,,,55445.15,,2.81,5.0,6.0,0.23,10,1,Global,0.0,2377.74,0.58,,0.741,Medium Performance
CUST_049,18-25,35,Platinum,Manufacturing,Slovakia (Slovak Republic),21488.73,78,Social Media,2025-01-31,Social Media,Product Feature,True,54.5,1,2,-0.14,Management,2025-09-13,Service Innovation,Medium,17,67046.12,Low,True,Completed,2025-10-02,2025-10-14,81764.59,Exceeded Targets,1.42,4.0,3.0,0.71,5,6,Local,30514.0,62675.46,0.66,31.0,0.22,Medium Performance
CUST_050,18-25,64,Platinum,Healthcare,Romania,6894.69,69,Phone,2025-08-16,Help Desk,Complaint,False,5.7,1,2,-0.96,Customer,2025-09-19,Customer Experience,Low,14,57766.57,High,False,Completed,2025-11-14,2025-11-16,62591.38,Partially Met,1.27,10.0,8.0,0.77,6,2,Regional,8756.26,36771.68,0.69,58.0,0.084,Medium Performance
CUST_051,18-25,32,Platinum,Education,Greenland,20322.27,11,Social Media,2025-09-04,Chat,Suggestion,False,16.3,2,1,0.02,Customer,2025-08-23,Service Innovation,Low,7,90686.35,Medium,False,Approved,,,55445.15,,2.81,5.0,6.0,0.29,3,5,Local,0.0,54192.72,0.23,,-0.389,Low Performance
CUST_052,26-35,78,Silver,Manufacturing,Tajikistan,4229.99,99,Social Media,2025-03-20,Social Media,Complaint,False,49.2,5,3,0.27,Management,2025-11-22,Customer Experience,High,15,7760.34,Medium,False,Under Review,,,55445.15,,2.81,5.0,6.0,0.38,2,5,Regional,0.0,27494.93,0.52,,6.145,Medium Performance
CUST_053,46-55,5,Basic,Finance,Korea,41668.98,10,Email,2025-03-22,Help Desk,Complaint,False,33.6,5,3,0.79,AI Analysis,2025-08-21,Service Innovation,Low,7,32831.15,Medium,True,Rejected,,,55445.15,,2.81,5.0,6.0,0.18,6,2,Global,0.0,17362.08,0.29,,0.689,Low Performance
CUST_054,26-35,6,Silver,Manufacturing,Swaziland,22169.03,57,In-Person,2025-06-18,Help Desk,Complaint,True,26.5,3,2,-0.18,Management,2025-11-28,Service Innovation,High,21,65083.23,Low,False,Completed,2025-11-28,2025-11-28,82972.37,Partially Met,1.63,10.0,3.0,0.37,10,3,Regional,36135.52,11084.51,0.65,0.0,0.275,Medium Performance
CUST_055,36-45,84,Platinum,Healthcare,Peru,29954.54,11,Chat,2025-07-08,Help Desk,Account Management,False,58.6,5,1,0.29,AI Analysis,2025-11-09,Service Innovation,Medium,1,36897.17,Low,True,Completed,2025-11-19,2025-11-19,49306.03,Met Targets,1.52,3.0,3.0,0.16,2,9,Global,45530.9,209681.78,0.16,10.0,0.336,Low Performance
CUST_056,55+,5,Gold,Education,Saint Helena,6986.93,49,Phone,2025-06-16,Phone,Technical Support,True,52.1,1,2,-0.27,Employee,2025-06-21,Technology Upgrade,Low,10,75486.73,Medium,True,In Development,,,55445.15,,2.81,5.0,6.0,0.87,8,4,Regional,0.0,2911.22,0.72,,-0.265,High Performance
CUST_057,55+,57,Platinum,Finance,Papua New Guinea,39017.14,65,In-Person,2025-08-01,Social Media,Technical Support,True,57.8,2,2,-0.9,AI Analysis,2025-11-12,Customer Experience,Low,4,71428.7,High,True,Completed,2025-11-28,2025-11-28,95298.87,Partially Met,2.52,9.0,3.0,0.76,2,4,Regional,98323.19,185331.42,0.54,16.0,0.334,Medium Performance
CUST_058,36-45,120,Basic,Retail,United Kingdom,3136.22,65,Chat,2025-01-12,Phone,Account Management,True,27.3,1,2,0.86,Management,2025-09-29,Process Optimization,High,2,29401.06,Medium,True,Rejected,,,55445.15,,2.81,5.0,6.0,0.46,1,2,Local,0.0,31362.2,0.4,,0.886,Medium Performance
CUST_059,36-45,28,Silver,Education,Ecuador,47041.18,78,In-Person,2025-08-02,Social Media,Billing,False,17.5,1,1,-0.52,AI Analysis,2025-11-05,Product Improvement,High,16,60077.17,Low,True,In Development,,,55445.15,,2.81,5.0,6.0,0.44,10,6,Local,0.0,109762.75,0.74,,-0.077,High Performance
CUST_060,55+,54,Silver,Manufacturing,Japan,33576.64,68,Chat,2024-12-02,Email,Complaint,True,28.4,4,1,0.27,Management,2025-06-28,Customer Experience,Low,1,36352.29,Low,False,Completed,2025-07-25,2025-08-05,45802.91,Exceeded Targets,3.97,6.0,3.0,0.14,9,6,Global,133299.26,151094.88,0.57,38.0,0.26,Medium Performance
CUST_061,26-35,107,Platinum,Manufacturing,Saint Vincent and the Grenadines,24187.29,24,Phone,2025-06-28,Email,Suggestion,False,3.1,2,1,0.58,Customer,2025-09-11,Customer Experience,Medium,17,40424.18,High,False,Completed,2025-09-29,2025-11-11,53655.16,Met Targets,1.79,1.0,6.0,0.32,6,7,Regional,43295.25,215670.0,0.39,61.0,0.327,Low Performance
CUST_062,46-55,115,Platinum,Finance,Nepal,48699.32,64,Social Media,2025-04-24,Chat,Complaint,False,57.8,4,1,-0.14,Employee,2025-11-11,Service Innovation,Medium,11,11157.19,Medium,False,Completed,2025-11-15,2025-11-22,13632.25,Below Targets,1.25,8.0,6.0,0.46,6,10,Regional,60874.15,466701.82,0.57,11.0,0.222,Medium Performance
CUST_063,36-45,82,Basic,Technology,Luxembourg,33723.6,52,Chat,2025-03-19,Help Desk,Suggestion,True,68.6,2,3,0.36,AI Analysis,2025-09-15,Product Improvement,High,3,24363.54,High,False,Completed,2025-11-21,2025-11-26,35683.5,Exceeded Targets,3.22,8.0,6.0,0.4,2,10,Local,108589.99,230444.6,0.37,72.0,0.465,Low Performance
CUST_064,55+,47,Platinum,Finance,Albania,32653.26,32,Email,2025-03-20,Email,Suggestion,True,36.2,4,3,-0.76,Management,2025-07-30,Technology Upgrade,High,20,29272.11,Medium,True,Completed,2025-10-03,2025-11-19,40892.51,Below Targets,1.28,8.0,2.0,0.75,6,6,Global,41796.17,127891.93,0.56,112.0,0.397,Medium Performance
CUST_065,18-25,71,Gold,Finance,Montenegro,42642.42,92,Phone,2025-04-25,Chat,Complaint,True,9.2,2,1,-0.53,AI Analysis,2025-07-12,Product Improvement,Medium,18,57655.46,Medium,True,Under Review,,,55445.15,,2.81,5.0,6.0,0.15,7,8,Global,0.0,252300.99,0.59,,-0.038,Medium Performance
CUST_066,46-55,99,Platinum,Education,Austria,4150.66,41,Email,2025-10-25,Social Media,Account Management,False,9.7,5,3,0.18,Employee,2025-08-11,Technology Upgrade,Low,2,83307.69,High,True,Completed,2025-11-15,2025-11-16,76091.32,Met Targets,2.06,9.0,5.0,0.78,5,4,Global,8550.36,34242.94,0.56,97.0,-0.087,Medium Performance
CUST_067,55+,36,Silver,Manufacturing,Denmark,15489.82,69,Email,2025-01-14,Help Desk,Suggestion,True,42.8,5,1,-0.66,Management,2025-11-02,Service Innovation,High,1,9041.06,High,False,Rejected,,,55445.15,,2.81,5.0,6.0,0.59,1,8,Global,0.0,46469.46,0.46,,5.133,Medium Performance
CUST_068,55+,38,Gold,Retail,Christmas Island,12621.46,88,Social Media,2025-11-02,Chat,Account Management,True,49.7,2,2,-0.17,AI Analysis,2025-07-19,Process Optimization,Medium,20,15223.2,High,False,In Development,,,55445.15,,2.81,5.0,6.0,0.88,3,6,Global,0.0,39967.96,0.69,,2.642,Medium Performance
CUST_069,55+,14,Gold,Healthcare,Jamaica,23590.39,35,Social Media,2025-11-12,Phone,Technical Support,True,4.1,4,3,-0.16,Employee,2025-10-12,Customer Experience,Low,24,31958.78,Low,False,Rejected,,,55445.15,,2.81,5.0,6.0,0.5,5,8,Local,0.0,27522.12,0.45,,0.735,Medium Performance
CUST_070,18-25,51,Platinum,Healthcare,Cook Islands,11149.65,46,Email,2025-01-16,Email,Product Feature,False,43.2,4,2,0.07,Customer,2025-11-11,Technology Upgrade,High,9,73023.3,Medium,False,Completed,2025-11-16,2025-11-28,61033.63,Met Targets,2.13,5.0,2.0,0.41,8,9,Regional,23748.75,47386.01,0.56,17.0,-0.164,Medium Performance
CUST_071,55+,88,Basic,Healthcare,Iraq,48766.6,51,Chat,2025-01-23,Chat,Complaint,False,54.5,2,3,0.02,Customer,2025-09-07,Product Improvement,High,5,71645.59,Medium,False,Completed,2025-11-23,2025-11-26,102108.73,Met Targets,1.98,10.0,6.0,0.23,10,5,Global,96557.87,357621.73,0.58,80.0,0.425,Medium Performance
CUST_072,36-45,65,Platinum,Manufacturing,Niue,28364.75,61,Email,2024-12-15,Chat,Product Feature,True,70.6,5,2,0.59,Customer,2025-11-23,Service Innovation,Medium,9,96740.0,High,True,Rejected,,,55445.15,,2.81,5.0,6.0,0.24,10,7,Local,0.0,153642.4,0.62,,-0.427,Medium Performance
CUST_073,26-35,5,Basic,Healthcare,Singapore,1437.4,41,Social Media,2025-09-19,Phone,Account Management,True,29.8,5,2,0.75,Customer,2025-09-21,Process Optimization,Low,7,56527.79,High,False,In Development,,,55445.15,,2.81,5.0,6.0,0.87,8,9,Regional,0.0,598.92,0.69,,-0.019,Medium Performance
CUST_074,55+,46,Gold,Education,South Georgia and the South Sandwich Islands,24466.92,32,Chat,2024-12-21,Help Desk,Product Feature,True,67.8,3,2,0.41,AI Analysis,2025-08-07,Customer Experience,Medium,12,56488.27,High,False,Completed,2025-11-17,2025-11-25,67866.91,Below Targets,4.53,7.0,6.0,0.86,3,5,Local,110835.15,93789.86,0.49,110.0,0.201,Medium Performance
CUST_075,36-45,92,Basic,Finance,South Africa,46238.48,84,Chat,2025-01-10,Social Media,Technical Support,True,59.7,3,3,0.39,Employee,2025-10-19,Product Improvement,Low,24,59096.22,Low,True,Approved,,,55445.15,,2.81,5.0,6.0,0.61,1,2,Regional,0.0,354495.01,0.52,,-0.062,Medium Performance
CUST_076,36-45,92,Platinum,Technology,Tonga,34219.0,18,Email,2025-02-24,Help Desk,Technical Support,False,47.2,4,2,0.3,Management,2025-10-09,Customer Experience,Medium,21,6857.1,Low,True,Under Review,,,55445.15,,2.81,5.0,6.0,0.83,3,7,Local,0.0,262345.67,0.44,,7.086,Medium Performance
CUST_077,18-25,108,Platinum,Retail,Venezuela,9722.43,96,Chat,2025-11-03,Email,Billing,False,41.1,1,2,-0.43,AI Analysis,2025-07-07,Process Optimization,Low,15,28010.87,Low,False,Completed,2025-08-21,2025-10-08,31406.91,Partially Met,3.73,1.0,6.0,0.73,10,4,Local,36264.66,87501.87,0.9,93.0,0.121,High Performance
